Ward ID,Sub County ID,Ward Name
723,16,Kangari
950,49,Kangaru
666,93,Kangemi
1047,80,Kangeta
988,61,Kangundo
551,61,Kangundo
945,48,Kanja
1059,83,Kanyakine
587,114,Kanyanya
943,48,Kanyuambora
1493,191,Kapenguria
1510,146,Kapkatet
1611,4472,Kapkures
1506,147,Kaplong
1465,166,Kapsabet
1620,4475,Kapsaos
1517,154,Kapsoit
1201,197,Kapsokwony
1464,4453,Kapsowar
1485,186,Kapsoya
1595,4476,Kapsoya
1516,154,Kapsuser
1596,4476,Kaptagat
1202,197,Kaptama
1469,169,Kaptumo
962,51,Karaba
807,4389,Karatina
1317,138,Karemo
650,4377,Karen
1070,4438,Kariene
817,31,Karima
626,4372,Kariobangi
636,4379,Kariokor
1606,4474,Karuna Meibeki
685,4382,Karuri
942,48,Karurumo
1213,199,Kasarani
797,4393,Kasigau
954,50,Kathangariri
944,48,Kathangeri
1060,83,Kathera
552,62,Kathiani
554,66,Kathonzweni
998,66,Kathonzweni
1368,122,Katito
969,56,Katse
1007,4423,Katulani
659,4378,Kawangware
633,4373,Kayole
1454,133,Kebirigo
1520,155,Kedowa
1412,132,Kegogi
1434,124,Kegonga
1433,125,Kehancha
1413,132,Kemera
1349,110,Kendu Bay
734,19,Kenol
1395,114,Kenyenya
1029,78,Keria
1515,154,Kericho Munincipality
1416,116,Kerina
1542,4462,Keringet
1394,118,Keroka
744,12,Kerugoya
1400,115,Keumbu
1128,193,Khalala
1194,195,Khaweli
1267,208,Khayega
841,102,Khorof Harar
1257,204,Khumusalaba
1281,4441,Khwisero
1256,204,khwisero
810,4390,Kiamariga
523,5,Kiambaa
965,51,Kiambere
689,4382,Kiambu
746,12,Kiamuruga
750,13,Kiamutugu
805,4388,Kiandu
769,15,Kiangai
959,50,Kiangombe Mbeere
765,15,Kiangwaci
1079,87,Kianjai
948,4398,Kianjokoma
749,13,Kianyaga
745,12,Kiaritha
809,4389,Kiaruiyu
1183,195,Kibabii
649,4377,Kibera
766,15,Kibigoti
1036,79,Kibirichia
1624,4478,Kibish
1362,120,Kibos
1366,121,Kiboswa
955,50,Kibugu
1556,85,Kibugua
996,67,Kibwezi
555,67,Kibwezi
1032,78,Kieganguru
904,4408,Kiembeni
1045,80,Kiengu
673,1,Kiganjo
779,27,Kiganjo Nyeri
724,16,Kigumo
1034,79,Kiirua
715,4380, Kijabe
937,32,Kikambala
983,60,Kikumini
704,3,Kikuyu
663,4378,Kileleshwa
1457,4452,Kilgoris
533,32,Kilifi
667,93,Kilimani
541,40,Kilindini
1300,212,Kilingili
556,68,Kilungu
1286,210,Kima
1570,153,Kimana
968,56,Kimangao
758,14,Kimbibi
714,4380,Kimende
1205,4429,Kimilili
1625,4479,Kiminini
1093,192,Kimukungi
1607,4474,Kimumu
752,13,Kimunye
1526,158,Kinamba
536,35,Kinango
786,29,Kingongo
1168,41,Kingorani
711,3,Kinoo
1056,82,Kinoru
725,16,Kinyona
888,46,Kipini
525,20,Kipipiri
1276,209,Kipkaren River
1519,155,Kipkelion
1597,4473,Kipkenyo
1587,4469,kipkomo
1621,4475,Kiplombe
1612,4472,Kipsomba
729,4385,Kiriaini
802,29,Kiricho
1039,79,Kirimara
961,51,Kiritiri
719,17,Kirwara
1564,151,Kisaju
1573,4466,Kisames
1006,4422,Kisasi
1584,4467,Kiserian
1379,4449,Kisian
588,115,Kisii Central
589,116,Kisii South
1399,115,Kisii Township
1038,79,Kisima
1092,192,Kisiwa
1242,4432,Kisoko
989,4426,Kisukioni
1364,120,Kisumu CBD
593,120,Kisumu East
594,121,Kisumu West
1475,178,Kitale
1563,151,Kitengela
984,65,Kithimani
1072,4438,Kithirune
668,93,Kitisuru
1001,54,Kitui
548,55,Kitui West
1124,193,Kituni
607,135,Kitutu
900,4396,Kiunga
1046,80,Kiutine
982,60,Kivaa
951,49,Kivwe
1468,169,Kobujoy
1226,201,Kocholia
1225,201,Kolanya
855,4402,Kolbio
1371,122,Kolweny
625,4372,Komarock
1360,120,Kondele
1189,195,Kongoli
1283,4442,Kongoni
908,4408,Kongowea
1203,197,Kopsiro
873,95,Korakora
1212,199,Korinda
1020,76,Korr
1347,111,Kosele
1350,110,Kosele
869,96,Kotile
1613,4472,Kuinet Kapsuswa
1560,152,Kumpa
597,124,Kuria East
598,125,Kuria West
753,13,Kutus
1129,193,Kuywa
537,36,Kwale
680,2,Kwamaiko
941,48,Kyeni
646,4376,Kyuna
966,56,Kyuso
1000,4418,Kyusyani
1044,80,Laare
844,4403,Lafey
615,159,Laikipia Central
1017,76,Laisamis
825,4406,Lakole South
895,4396,Lamu
1598,4473,Langas
651,4377,Langata
524,11,Lari
712,11,Lari
669,93,Lavington
891,4394,Laza
832,104,Leheley
860,4401,Liboi
713,4380,Limuru
1509,146,Litein
1477,180,Lodwar
1018,76,Logologo
1482,185,Loima
1553,173, Loita
1568,153,Loitoktok
1479,182,Lokiatung
1480,183,Lokichar
1558,184,Lokichoggio
1478,181,Lokori
1514,4459,Londiani
1502,145,Longisa
1534,162,Longonot
1483,185,Lorugum
1013,4434,Loyangalani
1319,4447,Luanda
1314,137,Luanda Kotieno
1589,4470,Luanda South
1342,109,Luanda Suba
1285,210,Luanda Town
1590,4470,Luanda Township
1277,209,Luandeti
1260,205,Lubao
1125,193,Lugulu
1247,203,Lukoye
1116,193,Lukusi
1275,209,Lumakanda
917,4410,Lunga Lunga
1259,205,Lurambi Amalemba
1115,193,Lutacho
1192,195,Lutungu
1109,192,Luucho
1088,192,Luuya
1197,196,Lwakhakha
1191,195,Lwanda
1220,200,Lwaunda
566,78,Maara
717,17,Mabanda
1104,192,Mabanga
1430,125,Mabera
1437,127,Macalder
553,63,Machakos
654,4377,Madaraka
1311,137,Madiany
868,97,Madogashe
892,4394,Madogo
1576,4466,Magadi
885,33,Magarini
1424,119,Magina
1209,198,Magombe
1066,83,Magumoni
1348,111,Magunga
1014,75,Maikona
1042,79,Mailinane
1473,177,Maili Saba
1561,152,Maili Tisa
1297,212,Majengo
1167,41,Majen go
618,4371,Makadara
1114,193,Makemo
1120,193,Makhese
997,4427,Makindu
922,35,Makinon
795,4393,Makinon Road
619,4371,Makongeni
557,69,Makueni
1132,193,Makuma
1244,203,Makunga
698,9,Makutano
963,51,Makutano mbeere
1054,82,Makutano Meru
763,15,Makutano Town
732,19,Makuyu
1141,193,Malaha
